RANK,SCHOOL,CONFERENCE,SCORE,;
253,UTSA,CUSA,243.19,;
254,Stephen F. Austin,Southland,243.81,;
255,Delaware,Colonial,247.13,;
256,Loyola-Maryland,Patriot,247.19,;
257,Eastern Kentucky,Ohio Valley,247.75,;
258,Army,Patriot,249.63,;
259,USC Upstate,Atlantic Sun,250.00,;
260,Miami-Ohio,MAC,250.50,;
261,Tennessee Tech,Ohio Valley,250.81,;
262,Sam Houston St,Southland,251.00,;
263,Florida Atlantic,CUSA,254.19,;
264,Montana St,Big Sky,254.38,;
265,Niagara,MAAC,256.00,;
266,Colgate,Patriot,258.31,;
267,Kennesaw St,Atlantic Sun,258.69,;
268,Austin Peay,Ohio Valley,259.13,;
269,Youngstown St,Horizon,259.31,;
270,Detroit,Horizon,260.13,;
271,Manhattan,MAAC,260.19,;
272,Portland St,Big Sky,260.25,;
273,Lamar,Southland,261.25,;
274,SE Louisiana,Southland,263.25,;
275,CS Northridge,Big West,264.06,;
276,Wagner,NEC,264.38,;
277,Hawai'i,Big West,264.44,;
278,The Citadel,Southern,266.13,;
279,Fla. International,CUSA,267.19,;
280,CS Fullerton,Big West,267.69,;
281,Fairleigh Dickinson,NEC,267.69,;
282,Robert Morris,NEC,267.69,;
283,Western Illinois,Summit,268.13,;
284,Western Carolina,Southern,268.38,;
285,NJIT(New Jersey Tech),Atlantic Sun,270.13,;
286,Seattle,WAC,270.63,;
287,Brown,Ivy,271.50,;
288,Long Island U.(LIU),NEC,273.44,;
289,Quinnipiac,MAAC,274.88,;
290,High Point,Big South,275.81,;
291,Northern Colorado,Big Sky,276.00,;
292,Dartmouth,Ivy,276.50,;
293,Saint Francis-Pa.,NEC,277.06,;
294,Cal Poly-SLO,Big West,277.25,;
295,Marist,MAAC,279.06,;
296,VMI,Southern,281.69,;
297,Chicago St,WAC,282.63,;
298,Jacksonville,Atlantic Sun,283.63,;
299,Radford,Big South,284.31,;
300,UC Riverside,Big West,284.44,;
301,Bryant,NEC,286.94,;
302,UTRGV,WAC,287.69,;
303,Central Arkansas,Southland,288.31,;
304,UC Santa Barbara,Big West,288.31,;
305,Sacramento St,Big Sky,289.31,;
306,SIU-Edwardsville,Ohio Valley,289.31,;
307,Southern Miss,CUSA,290.63,;
308,American U.,Patriot,290.94,;
309,Northwestern St,Southland,291.69,;
310,UMass Lowell,America East,291.69,;
311,North Texas,CUSA,297.13,;
312,Incarnate Word,Southland,297.88,;
313,Campbell,Big South,298.31,;
314,Abilene Christian,Southland,299.88,;
315,Binghamton-NY,America East,299.88,;
316,McNeese St,Southland,300.19,;
317,Nicholls St,Southland,300.50,;
318,Charleston Southern,Big South,300.56,;
319,Alcorn St,SWAC,300.69,;
320,Idaho St,Big Sky,301.00,;
321,Norfolk St,MEAC,303.25,;
322,Stetson,Atlantic Sun,304.31,;
323,Lafayette,Patriot,305.50,;
324,Sacred Heart,NEC,306.44,;
325,Maine,America East,310.69,;
326,Hampton,MEAC,310.94,;
327,Southern Utah,Big Sky,313.50,;
328,Northern Arizona,Big Sky,316.44,;
329,Md.-Eastern Shore(UMES),MEAC,316.56,;
330,Prairie View A&M,SWAC,316.94,;
331,Hartford,America East,318.50,;
332,Savannah St,MEAC,322.44,;
333,SC St,MEAC,323.06,;
334,Morgan St,MEAC,324.13,;
335,Southern U.,SWAC,325.50,;
336,Jackson St,SWAC,326.75,;
337,Presbyterian College,Big South,328.75,;
338,Howard,MEAC,330.44,;
339,Longwood,Big South,331.63,;
340,Central Connecticut St,NEC,333.19,;
341,Grambling St,SWAC,333.69,;
342,MVSU(Miss. Valley St),SWAC,334.31,;
343,Coppin St,MEAC,334.88,;
344,St Francis-NY,NEC,335.31,;
345,Delaware St,MEAC,336.44,;
346,Alabama St,SWAC,339.06,;
347,Bethune-Cookman,MEAC,340.50,;
348,Ark.-Pine Bluff,SWAC,341.38,;
349,NC A&T,MEAC,342.88,;
350,Florida A&M,MEAC,345.69,;
351,Alabama A&M,SWAC,347.31,;
